Cod_IBGE_Mun;Nome_Municipio;Sigla_UF;Data_Evento;Status;descricao_tipologia;Protocolo_S2iD;DM_total_danos_materiais;PEPL_total_publico;DH_total_calculado;flag_sem_declaracao_financeira;flag_inconsistencia_soma_humana;flag_reconhecido_sem_impacto;flag_duplicata_protocolo;flag_duplicata_semantica;flag_outlier_danos_materiais;flag_outlier_humanos
3302502;Magé;RJ;03/01/2021;Registro;Movimento de Massa;RJ-F-3302502-11321-20210102;0.0;0.0;0;True;False;False;False;False;False;False
3302502;Magé;RJ;03/01/2021;Registro;Alagamentos;RJ-F-3302502-12300-20210102;0.0;0.0;0;True;False;False;False;False;False;False
3302502;Magé;RJ;04/01/2021;Registro;Movimento de Massa;RJ-F-3302502-11321-20210103;0.0;0.0;9;True;False;False;False;False;False;False
3555406;Ubatuba;SP;05/01/2021;Reconhecido;Chuvas Intensas;SP-F-3555406-13214-20210101;2573635.2;112596.54;532;False;True;False;False;False;False;True
3300605;Bom Jesus do Itabapoana;RJ;05/01/2021;Registro;Inundações;RJ-F-3300605-12100-20210104;0.0;0.0;0;True;False;False;False;False;False;False
4309555;Harmonia;RS;05/01/2021;Registro;Alagamentos;RS-F-4309555-12300-20201215;0.0;0.0;0;True;False;False;False;False;False;False
4209102;Joinville;SC;06/01/2021;Reconhecido;Chuvas Intensas;SC-F-4209102-13214-20210101;31753550.43;19573694.15;5000;False;False;False;False;False;True;True
3143906;Muriaé;MG;06/01/2021;Reconhecido;Chuvas Intensas;MG-F-3143906-13214-20210101;32597901.63;484656.47;1947;False;False;False;False;False;True;True
2607208;Ipojuca;PE;06/01/2021;Registro;Movimento de Massa;PE-F-2607208-11321-20201202;0.0;0.0;0;True;False;False;False;False;False;False
3515004;Embu das Artes;SP;07/01/2021;Reconhecido;Chuvas Intensas;SP-F-3515004-13214-20201229;25756162.88;467373.35;552;False;False;False;False;False;True;True
4112900;Jundiaí do Sul;PR;07/01/2021;Reconhecido;Enxurradas;PR-F-4112900-12200-20201229;1824394.87;0.0;32;False;False;False;False;False;False;False
3302205;Itaperuna;RJ;07/01/2021;Registro;Chuvas Intensas;RJ-F-3302205-13214-20210104;0.0;0.0;0;True;False;False;False;False;False;False
3109253;Bugre;MG;08/01/2021;Registro;Chuvas Intensas;MG-F-3109253-13214-20201223;126255.7;126255.7;0;False;False;False;False;False;False;False
3204658;São Domingos do Norte;ES;08/01/2021;Registro;Chuvas Intensas;ES-F-3204658-13214-20210103;0.0;0.0;0;True;False;False;False;False;False;False
3302502;Magé;RJ;11/01/2021;Registro;Movimento de Massa;RJ-F-3302502-11321-20210110;0.0;0.0;0;True;False;False;False;False;False;False
3302502;Magé;RJ;11/01/2021;Registro;Alagamentos;RJ-F-3302502-12300-20210110;0.0;0.0;0;True;False;False;False;False;False;False
3149507;Pequeri;MG;12/01/2021;Reconhecido;Chuvas Intensas;MG-F-3149507-13214-20210110;997869.14;16002.21;72;False;False;False;False;False;False;False
3139904;Maria da Fé;MG;12/01/2021;Reconhecido;Chuvas Intensas;MG-F-3139904-13214-20210112;310980.92;16085.22;20;False;False;False;False;False;False;False
3151701;Poço Fundo;MG;12/01/2021;Reconhecido;Chuvas Intensas;MG-F-3151701-13214-20210110;2176429.94;25650.56;18;False;False;False;False;False;False;False
3306008;Três Rios;RJ;12/01/2021;Reconhecido;Chuvas Intensas;RJ-F-3306008-13214-20210110;0.0;970474.94;402;False;True;False;False;False;False;True
3540705;Porto Ferreira;SP;13/01/2021;Registro;Chuvas Intensas;SP-F-3540705-13214-20201205;0.0;0.0;6;True;False;False;False;False;False;False
4211702;Orleans;SC;13/01/2021;Registro;Alagamentos;SC-F-4211702-12300-20201229;0.0;0.0;0;True;False;False;False;False;False;False
3300407;Barra Mansa;RJ;14/01/2021;Registro;Chuvas Intensas;RJ-F-3300407-13214-20210112;2970403.95;0.0;328;False;False;False;False;False;False;True
5003207;Corumbá;MS;14/01/2021;Reconhecido;Enxurradas;MS-F-5003207-12200-20210113;2759842.33;1551690.23;55;False;False;False;False;False;False;False
3105608;Barbacena;MG;14/01/2021;Reconhecido;Chuvas Intensas;MG-F-3105608-13214-20210111;552259.22;30405.09;113;False;True;False;False;False;False;False
3115904;Chácara;MG;14/01/2021;Reconhecido;Inundações;MG-F-3115904-12100-20210109;418215.72;18229.92;12;False;False;False;False;False;False;False
3301009;Campos dos Goytacazes;RJ;14/01/2021;Registro;Movimento de Massa;RJ-F-3301009-11321-20210109;0.0;0.0;0;True;False;False;False;False;False;False
5002704;Campo Grande;MS;14/01/2021;Registro;Chuvas Intensas;MS-F-5002704-13214-20210113;0.0;0.0;0;True;False;False;False;False;False;False
3147303;Paraisópolis;MG;15/01/2021;Reconhecido;Chuvas Intensas;MG-F-3147303-13214-20210110;965113.2;227318.47;56;False;False;False;False;False;False;False
