cod_ibge,municipio,uf,capag_pre_ranking,ranking_cconf,capag,criterio_capag_cd
5200050,Abadia de Goiás,GO,A,Cicf,A,False
3100104,Abadia dos Dourados,MG,B,Dicf,B,False
5200100,Abadiânia,GO,C,Cicf,C,True
3100203,Abaeté,MG,C,Aicf,C,True
1500107,Abaetetuba,PA,C,Bicf,C,True
2300101,Abaiara,CE,B,Bicf,B,False
2900108,Abaíra,BA,C,Cicf,C,True
2900207,Abaré,BA,C,Bicf,C,True
4100103,Abatiá,PR,A,Cicf,A,False
4200051,Abdon Batista,SC,A,Bicf,A,False
1500131,Abel Figueiredo,PA,C,Bicf,C,True
4200101,Abelardo Luz,SC,A,Bicf,A,False
3100302,Abre Campo,MG,A,Dicf,A,False
2600054,Abreu e Lima,PE,A,Bicf,A,False
1700251,Abreulândia,TO,C,Cicf,C,True
3100401,Acaiaca,MG,A,Bicf,A,False
2100055,Açailândia,MA,B,Cicf,B,False
2900306,Acajutiba,BA,C,Bicf,C,True
1500206,Acará,PA,n.d.,Bicf,n.d.,False
2300150,Acarape,CE,B,Cicf,B,False
2300200,Acaraú,CE,C,Cicf,C,True
2400109,Acari,RN,B,Bicf,B,False
2200053,Acauã,PI,C,Cicf,C,True
4300034,Aceguá,RS,C,Bicf,C,True
2300309,Acopiara,CE,C,Cicf,C,True
5100102,Acorizal,MT,n.d.,Bicf,n.d.,False
1200013,Acrelândia,AC,A,Cicf,A,False
5200134,Acreúna,GO,n.d.,Dicf,n.d.,False
2400208,Açu,RN,C,Bicf,C,True
3100500,Açucena,MG,B,Cicf,B,False
3500105,Adamantina,SP,C,Bicf,C,True
5200159,Adelândia,GO,C,Cicf,C,True
3500204,Adolfo,SP,C,Bicf,C,True
4100202,Adrianópolis,PR,n.d.,Eicf,n.e.,False
2900355,Adustina,BA,B,Cicf,B,False
2600104,Afogados da Ingazeira,PE,C,Bicf,C,True
2400307,Afonso Bezerra,RN,C,Bicf,C,True
3200102,Afonso Cláudio,ES,A,Bicf,A,False
2100105,Afonso Cunha,MA,n.d.,Cicf,n.d.,False
2600203,Afrânio,PE,C,Aicf,C,True
1500305,Afuá,PA,C,Cicf,C,True
2600302,Agrestina,PE,C,Bicf,C,True
2200103,Agricolândia,PI,A,Cicf,A,False
4200200,Agrolândia,SC,A,Bicf,A,False
4200309,Agronômica,SC,B,Bicf,B,False
1500347,Água Azul do Norte,PA,B,Bicf,B,False
3100609,Água Boa,MG,A,Aicf,A+,False
5100201,Água Boa,MT,B,Bicf,B,False
2200202,Água Branca,PI,B,Dicf,B,False
2500106,Água Branca,PB,C,Cicf,C,True
2700102,Água Branca,AL,A,Bicf,A,False
5000203,Água Clara,MS,A,Cicf,A,False
3100708,Água Comprida,MG,A,Cicf,A,False
4200408,Água Doce,SC,A,Bicf,A,False
2100154,Água Doce do Maranhão,MA,C,Bicf,C,True
3200169,Água Doce do Norte,ES,B,Aicf,B+,False
2900405,Água Fria,BA,C,Dicf,C,True
5200175,Água Fria de Goiás,GO,C,Cicf,C,True
5200209,Água Limpa,GO,C,Bicf,C,True
2400406,Água Nova,RN,n.d.,Bicf,n.d.,False
2600401,Água Preta,PE,C,Bicf,C,True
4300059,Água Santa,RS,A,Dicf,A,False
3500303,Aguaí,SP,A,Bicf,A,False
3100807,Aguanil,MG,A,Eicf,n.e.,False
2600500,Águas Belas,PE,C,Bicf,C,True
3500402,Águas da Prata,SP,C,Bicf,C,True
4200507,Águas de Chapecó,SC,C,Aicf,C,True
3500501,Águas de Lindóia,SP,A,Bicf,A,False
3500550,Águas de Santa Bárbara,SP,C,Bicf,C,True
3500600,Águas de São Pedro,SP,C,Bicf,C,True
3100906,Águas Formosas,MG,n.d.,Cicf,n.d.,False
4200556,Águas Frias,SC,A,Bicf,A,False
5200258,Águas Lindas de Goiás,GO,A,Bicf,A,False
4200606,Águas Mornas,SC,n.d.,Dicf,n.d.,False
3101003,Águas Vermelhas,MG,B,Aicf,B+,False
4300109,Agudo,RS,A,Aicf,A+,False
3500709,Agudos,SP,n.d.,Bicf,n.d.,False
4100301,Agudos do Sul,PR,n.d.,Dicf,n.d.,False
