Protocolo_S2iD,Cod_IBGE_Mun,Nome_Municipio_Limpo,Sigla_UF,Data_Evento,Cod_Cobrade,descricao_tipologia,Status,DM_total_danos_materiais,PEPL_total_publico,Custo_Dano_Evitado,DH_MORTOS,DH_DESALOJADOS,DH_DESABRIGADOS,DH_total_danos_humanos_diretos
RS-F-4309555-12300-20201215,4309555,Harmonia,RS,05/01/2021,12300,Alagamentos,Registro,0.0,0.0,0.0,0,0,0,0
SC-F-4209102-13214-20210101,4209102,Joinville,SC,06/01/2021,13214,Chuvas Intensas,Reconhecido,31753550.43,19573694.15,51327244.58,0,5000,0,5000
PR-F-4112900-12200-20201229,4112900,Jundiaí Do Sul,PR,07/01/2021,12200,Enxurradas,Reconhecido,1824394.87,0.0,1824394.87,0,32,0,32
SC-F-4211702-12300-20201229,4211702,Orleans,SC,13/01/2021,12300,Alagamentos,Registro,0.0,0.0,0.0,0,0,0,0
SC-F-4216305-12200-20210116,4216305,São João Batista,SC,18/01/2021,12200,Enxurradas,Registro,1100921.46,0.0,1100921.46,0,10,0,10
SC-F-4212205-12300-20210119,4212205,Papanduva,SC,19/01/2021,12300,Alagamentos,Registro,321704.4,53.62,321758.02,0,0,0,0
SC-F-4215109-13214-20210120,4215109,Rodeio,SC,21/01/2021,13214,Chuvas Intensas,Reconhecido,502287.8,26808.7,529096.5,0,29,5,34
SC-F-4212809-13214-20210121,4212809,Balneário Piçarras,SC,21/01/2021,13214,Chuvas Intensas,Registro,0.0,0.0,0.0,0,7,0,7
SC-F-4208450-13214-20210121,4208450,Itapoá,SC,21/01/2021,13214,Chuvas Intensas,Registro,53617.4,10.72,53628.12,0,0,0,0
SC-F-4202107-12300-20210121,4202107,Barra Velha,SC,21/01/2021,12300,Alagamentos,Registro,0.0,0.0,0.0,0,0,0,0
SC-F-4216206-13214-20210120,4216206,São Francisco Do Sul,SC,21/01/2021,13214,Chuvas Intensas,Registro,0.0,0.0,0.0,0,0,0,0
SC-F-4205407-13214-20210121,4205407,Florianópolis,SC,22/01/2021,13214,Chuvas Intensas,Reconhecido,21403819.4,16466493.3,37870312.7,2,900,16,1010
SC-F-4214706-13214-20210121,4214706,Rio Dos Cedros,SC,22/01/2021,13214,Chuvas Intensas,Registro,10723.48,21446.96,32170.44,0,3,0,3
SC-F-4202909-13214-20210120,4202909,Brusque,SC,22/01/2021,13214,Chuvas Intensas,Registro,0.0,0.0,0.0,0,3,0,3
SC-F-4202206-12200-20210121,4202206,Benedito Novo,SC,22/01/2021,12200,Enxurradas,Registro,0.0,0.0,0.0,0,0,0,0
SC-F-4204251-13214-20210122,4204251,Cocal Do Sul,SC,22/01/2021,13214,Chuvas Intensas,Registro,0.0,0.0,0.0,0,0,0,0
SC-F-4205803-13214-20210122,4205803,Garuva,SC,22/01/2021,13214,Chuvas Intensas,Registro,0.0,0.0,0.0,0,0,0,0
SC-F-4201703-12200-20210124,4201703,Ascurra,SC,25/01/2021,12200,Enxurradas,Registro,26808.7,0.0,26808.7,0,0,0,0
SC-F-4201703-13214-20210124,4201703,Ascurra,SC,25/01/2021,13214,Chuvas Intensas,Reconhecido,536174.0,37532.18,573706.18,0,122,0,122
SC-F-4206306-13214-20210124,4206306,Guabiruba,SC,25/01/2021,13214,Chuvas Intensas,Reconhecido,1207463.85,112856.05,1320319.9000000001,0,58,51,109
SC-F-4205159-12300-20210120,4205159,Doutor Pedrinho,SC,25/01/2021,12300,Alagamentos,Registro,5361.74,6434.09,11795.83,0,60,0,60
SC-F-4210308-13214-20210123,4210308,Major Vieira,SC,25/01/2021,13214,Chuvas Intensas,Registro,0.0,0.0,0.0,0,0,0,0
SC-F-4205902-13214-20210120,4205902,Gaspar,SC,25/01/2021,13214,Chuvas Intensas,Registro,386045.28,0.0,386045.28,0,0,0,0
SC-F-4211108-13214-20210113,4211108,Monte Castelo,SC,25/01/2021,13214,Chuvas Intensas,Registro,229527.31,0.0,229527.31,0,0,0,0
SC-F-4217956-13214-20210123,4217956,Tigrinhos,SC,25/01/2021,13214,Chuvas Intensas,Registro,0.0,0.0,0.0,0,0,0,0
PR-F-4110706-12300-20210118,4110706,Irati,PR,26/01/2021,12300,Alagamentos,Reconhecido,651773.11,712896.95,1364670.06,0,50,3,55
SC-F-4200903-12200-20210124,4200903,Angelina,SC,26/01/2021,12200,Enxurradas,Registro,268087.0,268087.0,536174.0,0,0,0,0
SC-F-4214607-12200-20210124,4214607,Rio Do Oeste,SC,26/01/2021,12200,Enxurradas,Reconhecido,107234.8,1.07,107235.87000000001,0,15,0,15
SC-F-4213500-13214-20210124,4213500,Porto Belo,SC,26/01/2021,13214,Chuvas Intensas,Registro,0.0,0.0,0.0,0,0,0,0
SC-F-4200705-11331-20210125,4200705,Alfredo Wagner,SC,26/01/2021,11331,Movimento de Massa,Registro,745742.97,0.0,745742.97,0,0,0,0
SC-F-4211900-13214-20210124,4211900,Palhoça,SC,26/01/2021,13214,Chuvas Intensas,Registro,321704.4,21446.96,343151.36000000004,0,0,0,0
SC-F-4211702-11321-20210121,4211702,Orleans,SC,26/01/2021,11321,Movimento de Massa,Registro,0.0,0.0,0.0,0,0,0,0
PR-F-4119608-12200-20210120,4119608,Pitanga,PR,27/01/2021,12200,Enxurradas,Reconhecido,12120034.59,12120034.59,24240069.18,0,0,0,0
RS-F-4303400-12200-20210124,4303400,Caiçara,RS,27/01/2021,12200,Enxurradas,Registro,0.0,0.0,0.0,0,0,0,0
SC-F-4218202-13214-20210121,4218202,Timbó,SC,28/01/2021,13214,Chuvas Intensas,Registro,0.0,0.0,0.0,0,200,16,216
SC-F-4208104-13214-20210120,4208104,Itaiópolis,SC,28/01/2021,13214,Chuvas Intensas,Reconhecido,1005750.04,2566006.94,3571756.98,0,7,0,7
SC-F-4214508-12200-20210124,4214508,Rio Do Campo,SC,28/01/2021,12200,Enxurradas,Registro,96511.32,0.0,96511.32,0,0,0,0
SC-F-4214102-12200-20210124,4214102,Presidente Nereu,SC,28/01/2021,12200,Enxurradas,Registro,0.0,0.0,0.0,0,0,0,0
SC-F-4202404-13214-20210127,4202404,Blumenau,SC,29/01/2021,13214,Chuvas Intensas,Reconhecido,5048395.25,173067.31,5221462.56,0,50,0,50
